Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
 10%|████▍                                       | 1/10 [00:04<00:42,  4.67s/it] 20%|████████▊                                   | 2/10 [00:08<00:36,  4.56s/it] 30%|█████████████▏                              | 3/10 [00:13<00:32,  4.62s/it] 40%|█████████████████▌                          | 4/10 [00:17<00:26,  4.36s/it] 50%|██████████████████████                      | 5/10 [00:22<00:22,  4.48s/it] 60%|██████████████████████████▍                 | 6/10 [00:26<00:17,  4.43s/it] 70%|██████████████████████████████▊             | 7/10 [00:30<00:12,  4.17s/it] 80%|███████████████████████████████████▏        | 8/10 [00:34<00:08,  4.21s/it] 90%|███████████████████████████████████████▌    | 9/10 [00:38<00:04,  4.24s/it]100%|███████████████████████████████████████████| 10/10 [00:43<00:00,  4.40s/it][DIV2K x2]	PSNR: 34.672 (Best: 34.672 @epoch 4)
Forward: 43.50s

Saving...
Total: 49.30s

[Epoch 5]	Learning rate: 1.00e-4

  0%|                                                    | 0/10 [00:00<?, ?it/s][160/16000]	[MSE: 69.7594]	32.7+1.1s
[320/16000]	[MSE: 65.2511]	32.7+0.8s
[480/16000]	[MSE: 63.5326]	32.7+0.8s
[640/16000]	[MSE: 61.8254]	32.7+0.8s
[800/16000]	[MSE: 61.8523]	32.7+0.8s
[960/16000]	[MSE: 62.5114]	32.7+0.8s
